skeptical, adj. 怀疑的
scarcity," n. 缺乏,不足,缺少"
instrumental," adj. 仪器的,器具的,可做为手段的"
integrity," n. 诚实, 正直, 完整, 完善"
filmmaker, n. 电影摄制者
canary," n. 金丝雀,加那利舞,加那利白葡萄酒,告密者"
reshape," vt. 重新塑造, 使成新的形状, 打开新局面"
decline," n. 衰微, 跌落; 晚年
v. 降低, 婉谢"
anatomical," adj. 结构上的, 解剖(学)的"
spokesperson," n. 代言人, 发言人"
declaim," v. 高谈阔论, 雄辩, 大声说"
insular, adj.海岛的； 孤立的； 与世隔绝的； 岛民的
nomadic," adj. 游牧的, 游牧民族的, 流浪的"
irritate," vt.& vi. 激怒,使...发怒, 使疼痛或发炎"
continuity, n. 连续性
idealize, v. (使)理想化
absolve," vt. 宣告...无罪, 赦免"
supportive," adj. 支持的, 赞助的"
expediency," n. 权宜, 方便, 私利"
porous," adj. 可渗透的, 多孔的"
delta, n. (河流的)三角洲
hesitant," adj. 迟疑的, 犹豫不定的"
adversity," n. 不幸, 灾难"
pointedly," adv. 尖锐地, 指向地"
stymie," n. 困难境地
vt 使...处于困难境地"
facade," n. 建筑物的正面,外表(犹指虚伪的)"
Cavalier," n. 骑士, 武士
adj. 满不在乎的, 无忧无虑的"
afflict," vt. 使苦恼,折磨"
satirist," n. 讽刺诗作者, 讽刺家, 爱挖苦别人的人"
gamete, n. 配偶子
outpouring," n. 倾泻, 流出, 流露
动词outpour的现在分词形式"
waver," n. 动摇, 踌躇，挥动者，烫发器
v. 摆动, 摇曳, 犹豫，颤抖，蹒跚"
kindliness," n. 亲切, 慈爱, 亲切的行为"
disregard," n. 不理会, 漠视
vt. 忽视, 不顾"
broadband," n.宽频带, 宽带
adj.宽频带的"
cessation, n. 中止，（短暂的）停止
discourteous," adj. 失礼的, 无礼貌的"
acquisition, n.获得； 购置物； 获得物； 收购
fecundity," n. 多产, 丰饶, 肥沃"
irony," n. 反讽, 讽剌, 讽剌之事"
drawback," n. 不利点,退税"
dynamo, n. 发电机
cluster," n. 串,丛,群
v. 聚合,成串,丛生,使...聚集"
hypothetical," adj. 假设的, 假定的, 爱猜想的"
throwback, n. 掷回，返回，返祖现象
apprehensive," adj. 惴惴不安的,敏悟的,有知觉的"
elevate," vt. 举起,提拔,素养提升，鼓舞
vi. 变高"
embellish," v. 修饰, 装饰, 润色"
automatically," adj. 不经思索的
adv. 自动地"
embody," vt. 代表, 使具体化, 包含,使(精神)肉体化"
bias," n. 偏见，斜纹
vt. 使偏心"
encompass," vt. 围绕(包围, 拥有, 完成)"
flexibility," n. 灵活性, 柔韧性，适应性"
endurance," n. 忍耐, 忍耐力, 耐性"
aerial," adj.空气的； 航空的，空中的； 空想的
n.[电讯] 天线"
migrate," v. 移动,移往,随季节而移居
[计算机] 迁移"
engagement," n. 诺言, 约会, 婚约, 交战, 雇用, (机器零件等)啮合"
unfertilized, adj. 未施肥的
livestock," n. 家畜, 牲畜"
debatable," adj. 有疑问的,有争议的，成问题的"
mesmerize, v. 施以催眠术，迷住，迷惑
locus," n. 场所, 所在地, 轨迹"
tempestuous," adj. 有暴风雨的, 暴乱的"
audible, adj. 听得见的
clarity," n. 清楚, 透明"
dishonest, adj. 不诚实的
cynical," adj. 愤世嫉俗的,吹毛求疵的"
agronomist, n. 农学家
prone," adj. 俯卧的, 易于...的, 有...倾向的"
mundane, adj. 世俗的，平凡的；世界的，宇宙的
facilitate," vt. 帮助, 使...容易, 促进"
euphemistic, adj. 委婉的
extraordinarily, adv. 非常(格外)
exotic," adj. 异国的,外来的,奇异的,脱衣舞的
n. (复数)异国风格的事物,脱衣舞者"
fascinate," vt. 使...入迷,吸引住
vi. 有吸引力"
tentacle," n. (动物)触角, 触须"
anthropology, n. 人类学
creation," n. 创造, 创作"
unpromising, adj. 没有希望的(结果未必良好的)
meteorological, adj. 气象的
inviolate," adj. 未亵渎的, 未受侵犯的, 无污点的，纯洁的"
tacit, adj. 心照不宣的
modality," n. 样式, 形式, 形态
[医学]药征
[生理学]感觉"
considerably," adv. 非常地, 很, 颇"
hypothesize," v. 假设, 假定, 猜测"
fission," n. 裂开,分裂,分体"
practice," n. 练习, 实行, 习惯; 业务
vt. &vi 练习, 实习, 开业"
selective," adj. 选择的, 选择性的"
needlework," n. 针线活, 缝纫手艺"
seamless, 无缝的
incoherent," adj. 不连贯的, 语无伦次的"
devotional," adj. 信仰的, 虔诚的, 祷告的
n. 简短的祈祷"
seminal," adj. 精液的, 种子的, 生殖的，创新的，有创意的"
rhyme," n. 韵,押韵,韵文
vt. 押韵,用韵诗表达
vi. 押韵"
psychoanalysis, n. 心理分析
indeterminate," adj. 不确的,不确定的,含混的"
seniority," n. 长辈, 前任者的特权, 老资格"
usurer," n. 高利贷, 贷款人"
manifestation," n. 显示,证明,示威运动"
methodological, adj. 方法的，方法论的
compatibility," n. 和谐共处, 兼容"
thaw," n. 融雪
v. 使融解, 暖和"
guise, n.装束，外观，伪装，借口
compressor," n. 压缩物,压缩机,收缩肌"
titanic," n. 泰坦尼克（船名）
adj. 巨大的；四价钛的"
upbeat," n. 上升, [音]弱音拍
adj. 乐观的"
sorely," adv. 剧烈地, 痛苦地，极度地"
ovation," n. 热烈欢迎, 大喝采, 大受欢迎"
landowner," n. 地主, 土地所有者"
overstate," v. 夸大的叙述,夸张"
flounder," vi.挣扎，折腾； 着慌，勉强应付； 行为言语错乱
n. 比目鱼"
unicellular, adj. 单细胞的
misgiving," n. 疑虑，怀疑
动词misgive的现在分词"
axiom," n. 公理, 格言，自明之理"
trash," n. 废物,垃圾
vt. 废弃,擦去,捣毁
vi. 捣毁"
desertification," n. (土壤)荒漠化, 沙漠化"
inexhaustible," adj. 用不完的(无穷的,不知疲倦的)"
unyielding, adj. 不屈的；坚强的；[材] 不易弯曲的
vengeance," n. 报复, 报仇, 复仇"
adaptation," n. 改编,适应,改编成的作品"
journalistic, adj. 新闻业的
outsider," n. 外行, 旁观者, 局外人"
periodic," adj. 周期的, 定期的，间歇的，完句的"
quantum," n. 分配量, 额, 量"
eddy," n. 逆流, 漩涡
v. 起漩涡"
pest, n. 害虫
femininity," n. 妇女特质, 温柔, 柔弱性"
impatience, n. 不耐烦
walnut," n. 胡桃,胡桃木,胡桃色,茶色"
oversimplify, v. (使)过于简单化
convergence," n. 汇聚,汇合点,收敛"
unworldly," adj.天真的,精神的,超脱世俗的"
ego," n. 自我, 自负, 自尊心"
valiant," adj. 勇敢的，英勇的
n. 勇士，勇敢的人"
plunder," v. 掠夺, 抢劫, 抢夺
n. 抢夺, 掠夺品, 战利品"
lizard," n. 蜥蜴, 蜥蜴皮"
beneficiary," n. 受惠者,受益人"
convertible," adj. 可改变的, 可交换, 同意义的
n. 有活动摺篷的汽车"
inoculation," n. 接插芽, 接木, 接种疫苗"
postsynaptic," adj. 后联会的, 突触后的"
infrared," adj. 红外线的
n. 红外线(的)"
precipitation," n. 坠落, 沉淀, 凝结; 冰雹"
melodic, adj. 旋律优美的
presumably," adv. 推测上,假定上,大概"
characterize," vt. 表示...的典型,赋予...特色"
vogue," n. 时尚,流行"
metabolic, adj. 新陈代谢的
discordance, n. 不一致，不和谐
emergence, n. 出现
misdeed, n. 不端行为，罪行
wrinkle," n. 皱纹
v. (使)起皱纹
vi. (使)起皱纹,皱眉
vt. 使起皱纹"
ostentatious," adj. 装饰表面的, 浮夸的, 华美的"
uncharted, adj. 地图上没标明的
corruption," n. 腐败, 堕落, 贪污"
numeral," adj. 数字的, 表示数字的
n. 数字, 数"
photographer, n. 摄影师
perpetrator," n. 犯人, 作恶之人"
exorcise," v. 除怪,驱邪"
condescend, vi. 屈尊，俯就，怀着优越感对待
prospective," adj. 未来的, 预期的"
myth, n. 神话
interplanetary," adj. 太阳系内的,行星间的"
chastisement, n. 惩罚
exemplar," n. 模范, 榜样"
moralistic, adj. 说教的；道学的；道德家的；注意道德的
oddly," adv. 奇妙地,奇怪地,单数地"
adjudicate," vt. 判决，裁定
vi. 充当裁判"
quotidian," adj. 每日的, 平凡的
n. 司空见惯的事，[医]日发疟"
onward," adj. 向前的, 前进的
adv. 向前, 前进, 在先"
beneficent," adj. 行善的, 慈善的，有益的"
misdirect, vt. 指示错(写错)
choreographic," adj. 舞蹈术,舞台舞蹈"
comparable," adj. 可比较的, 比得上的"
porosity," n. 多孔性, 有孔性"
forbear," vt. 忍耐, 停止
vi. 阻止，克制
n. 祖先(=forebear)"
illusory, adj. 虚幻的，幻觉的
engender," v. 产生, 引起"
ethnocentric," 种族[民族]中心主义的, 种族[民族, 集团]优越感的"
composite," adj. 合成的,复合的
n. 合成物, 复合材料
vt. 合成"
brewery, n. 啤酒厂
accrue," vi. 生成,自然增加,积累
vt. 积累"
priestess," n. 尼姑, 女祭司"
sprawl," vi. 蔓延；伸开手足躺；无计划地扩展
vt. 懒散地伸开；使蔓生
n. 蔓生；伸开手足躺卧姿势"
tritium, n. [核] 氚；超重氢
savage," adj. 野性的, 凶猛的, 粗鲁的, 荒野的 n. 野蛮人, 粗人,凶恶的人 vt. 残害, 激烈抨击"
mythology," n. 神话, 神话学，神话集"
incapable," adj. 无能力的, 不胜任的"
impudent," adj. 鲁莽的, 卑鄙的"
recurrent," adj. 再发生的,定期重覆的,循环的"
narrative," n. 叙述,故事
adj. 叙述的,叙事的,故事体的"
narrator," n. 叙述者(讲解员,播音员)"
physic," n. 药，医术，治疗
vt. 治疗，给 ... 服药
n. <古>自然科学"
harbinger," n. 先驱, 预兆"
cynicism," n.愤世嫉俗，讥笑，冷言冷语 
Cynicism:犬儒主义，犬儒哲学"
replete," adj. 饱满的, 塞满的"
lipid," n. 脂质, 油脂[脂肪,乳酪]"
unfamiliar, adj. 不熟悉的
administrative," adj. 行政的,管理的"
syndrome, n. 综合征，综合症状；（不良情况的）典型表现，典型行为
theater, n.剧场； 戏剧界； 戏剧效果； [军]战区
unimpeachable," adj. 无懈可击的, 无可指责的, 无过失的"
incredibly," adv. 难以置信地, 不可思议地"
jurisdiction," n. 司法权,审判权,管辖权, 控制权"
instability," n. 不安定,不稳定,基础薄弱"
transient," adj. 短暂的
n. 短期居留者,瞬间的变化"
stellar, adj. 星(状的)，和电影明星有关的，主要的，一流的
exasperation, n. 恼怒，激怒
decelerate, v. (使)减速
infest," v. 骚扰,群居于,大批出没"
canon," n. 教会法规; 标准、准则; 正典; 正式名单; 教堂里的教士
佳能(财富500强公司之一, 总部所在地日本, 主要经营办公设备)"
herald," n. 使者,传令官,前锋,预兆
vt. 预报,宣布,传达"
deficient,"adj. 不足的, 不充分的, 有缺陷的"
derision, n. 嘲笑，笑柄
contrivance," n. 发明, 发明的才能, 想出的办法"
unintelligible, adj.  难以理解的； 莫明其妙的
obligatory," adj. 强制性的, 义务的, 必须的"
accentuate," v. 以重音念, 强调, 重读"
derivation," n. 引出, 诱导, 来历"
strategic," adj. 战略的,重要的,基本的"
compartmentalize," vt. 划分，分类
=compartmentalise（英）"
involuntary," adj. 自然而然的,无意识的,不知不觉的"
misnomer, n. 误称
shrug," n. 耸肩
v. 耸肩"
discernible, adj. 可辨别的
originally," adv. 本来,原来,最初
重要的"
unrest," n. 不安的状态, 动荡的局面"
skyscraper, n. 摩天大楼
judicious," adj. 头脑精明的,贤明的,判断正确的"
rigidity," n. 硬, 硬度，刻板"
hone," n. 细磨刀石
v. 磨刀"
satiric," adj. 讽刺的,挖苦的"
pragmatic," adj. 实际的, 实用主义的"
indefinitely," adv. 无限地(在长时期内,无穷地)"
intrusive," adj. 打搅的, 侵扰的"
norepinephrine," n. 降肾上腺素, 去甲肾上腺素"
utilitarian," adj. 功利的, 实用的"
sensory," adj. 知觉的, 感觉的, 知觉器官的"
leaning, n. 意向 adj. 倾斜的
lighthearted, adj. 心情愉快的，无忧无虑的
onstage," adj. 舞台表演区的，台上的，台上演出的
adv. 在舞台表演区，在台上"
evolutionary," adj. 发展的(展开的,调优的)"
feckless," adj. 没精神的, 软弱的, 无用的，不负责任的"
detriment, n. 损伤，引起损害的物质
submicroscopic," adj. 用普通显微镜看不出的, 亚微观的"
alleviate," vt. 减轻,使...缓和"
aluminum, n. 铝
elicit," vt. 引出,诱探出"
elude," v. 逃避, 躲避"
prevalence," n. 传播, 流行, 普及"
emancipate," vt. 释放, 解放"
infrequency," n. 稀少, 很少发生"
authoritative," adj. 权威性的, 命令式的"
containment," n. 容积, 控制，遏制政策"
spoilage," n. 掠夺, 糟蹋, 弄坏或变成无用之物"
synapse," n. [解]突触
vi. 形成突触，联合"
energize," vt. 使活跃, 赋予能量
vi. 产生能量"
gambler, n. 赌徒
astound," v. 使惊骇, 使大吃一惊
adj. <古>震惊的"
fungal, adj. 真菌的，由真菌引起的
hopelessness, n. 不抱希望，绝望
collaborative," adj. 协作的,合作的"
mimic," vt. 模仿，摹拟
n. 效颦者，模仿者；仿制品；小丑"
surpass," vt. 超越,凌驾,胜过"
stint," v. 节省, 限制, 停止
n. 舍不得花, 节约, 限制
n. 连续不断的一段时间从事某件事"
tangential, adj.<正>间接相关的； 次要的； 外围的； 略为触及题目的
immutable," adj. 不可变的,不变的,不能变的"
authorize," v. 授权与,批准,委托代替"
layered," adj.分层的,有夹层的
动词layer的过去式和过去分词形式"
detractor, n. 贬低者
gemstone, n. 宝石
appraisal," n. 估计,估量,评价"
inadvisable," adj. 不受劝告的, 不聪明的, 不得体的"
ardor," n. 热情, 狂热
=ardour(英)"
technocrat," n. 技术人员, 技术专家政治论者"
proprietary," adj. 专利的, 所有权的
n. 所有权, 所有人"
insecticide, n. 杀虫剂
terminology," n. 术语,术语学"
surrealistic, adj. 超现实主义的
majesty, n. 威严；最高权威，王权；雄伟；权威
astronomy, n. 天文学
superintendent," n. 监督人,管理人,所长"
subterranean, adj. 地下的，隐蔽的
impunity," n. 不受惩罚,无事,无患"
notion," n. 观念,想法,主张"
cognitive," adj. 认知的,认识的,有认识力的"
novice," n. 新手,初学者"
tenement," n. 房屋, 住户, 租户"
woodland," n. 森林地, 林地
adj. 林地的"
facile," adj. 不费力的，温和的, 容易做到的"
inconsistent, adj. 不一致的
mystical," adj. 神秘的
adj. 神秘主义的
adj. 有心灵象征意义的"
incipient," adj. 起初的,发端的,初期的"
blizzard," n. 暴风雪
n.暴雪 极负盛名的美国游戏软件制作公司"
susceptible," n. 易受影响者,易受感染者
adj. 易受影响的,易感动的,容许"
disciple," n. 弟子, 门徒"
atrocity, n. 暴行
lofty," adj. 高的, 高超的, 傲慢的"
therapeutic, adj. 治疗的
oscillate," v. 振动, 彷徨, 犹豫
v. 使振动, 使动摇"
overlap," n. 重叠,重复
vt. 重叠,重复
vi. 有重叠部分
[计算机] 重叠"
astonishment, n. 惊讶，令人惊讶的事
hierarchical, adj. 按等级划分的
investigator," n. 调查者, 研究者, 审查者"
apathetic," adj. 缺乏感情的, 缺乏兴趣的, 无动于衷的，冷淡的"
evaluation," n. 估价,评价"
philanthropy," n. 博爱主义，善心，慈善事业, 慈善机构"
understandable," adj. 可理解的, 能够懂的"
untutored," adj. 未受教育的, 粗野的, 幼稚的"
tenuous," adj. 稀薄的,微细的
贫乏的;平淡的;脆弱的,无力的"
buoyant," adj. 有浮力的, 心情愉快的，趋于上涨的"
untapped," adj. 塞子未开的, 未使用的"
rejuvenate," v. 使...年轻, 使...恢复精神，变年轻"
invader, n. 侵略者
generalize," v. 使一般化, 概括，归纳"
strategist," n. 战略家, 军事家, 策士"
geology, n. 地质学，（某地区的）地质情况，地质学的著作
ballad," n. 歌谣
民歌, 歌谣, 叙事歌, 流行歌曲, 情歌"
fragmentary," adj. 碎片的，碎块的, 碎屑状的, 零碎的, 不完全的"
metalwork," n. 金工
vt. 金属加工"
veneration, n. 崇敬
remarkably," adv. 显著地, 引人注目地, 非常地"
frenzy," n. 狂暴, 狂怒"
ionize, v. 使离子化，电离
converse," n. 相反的事物,倒,逆向
adj. 相反的,逆向的,倒 的
v. 交谈,谈话
[计算机] 转换"
relinquish," v. 放弃,放手,让渡"
reproachful," adj. 申斥的, 非难的, 责备似的"
unravel," vt.解开； 阐明； 拆散
vi.被解开； 被拆散"
physically, adv. 身体上地
unfathomable, adj. 深不可测的
transmute, v. 使...变形，经历变化
placate," v. 抚慰,和解,怀柔"
matrilineal, adj. 母系的
abolish," vt. 废止,革除"
inhibit," vt. &vi. 禁止,抑制
[计算机] 禁止"
honor," n. 荣誉,荣幸,贞洁,正直,信用
vt. 尊敬,授予荣誉,实践,兑现"
itemize, v. 分列
objectively, adv. 客观地
civility," n. 礼貌, 端庄"
hallowed," adj. 神圣的，崇高的
动词hallow的过去式和过去分词形式"
miller, n. 磨坊主，铣床(工)
incur," v. 招致,蒙受,遭遇"
precipitate," vt. 使...陷入,促成,使...沉淀, 猛摔
n. 沉淀物, 冷凝物
adj. 仓促的, 迅猛的, 感情用事的"
bloodstream, n. 血流
intact," adj. 尚未被人碰过的,原封不动的,完整的, 完好无缺的"
intermittent," adj. 间歇的,断断续续的"
intuition," n. 直觉, 直觉的知识"
minuet, n. 小步舞，小步舞曲
respectable," n. 品格高尚的人
adj. 值得尊重的, 人格高尚的, 不少的"
solitary," adj. 孤独的,独立的,荒凉的
n. 隐士,"
emblematic, adj. 作为象征的
preoccupation," n. 先取, 先入成见, 全神贯注的事, 专心"
corona," n. 电晕(冠状物, 日冕, 飞檐的上部)"
afloat," adv. 飘浮地
adj. 漂浮的，在海上的，无欠债的"
extracurricular, adj. 课外的
hallucination," n. 幻觉, 幻想"
hindrance," n. 妨害, 障碍, 阻碍物"
multicellular, adj. 多细胞的
enactment," n. 颁布 ,通过,制定,法规,条例, 法令"
hiss," n. 嘘声, 嘶嘶声
v. 发出嘘声, 发嘶嘶声
[计算机] 嘘声"
agricultural, adj. 农业的
clockwise," adj. 顺时针方向的
adv. 顺时针方向地"
provoke," vt. 激怒, 惹起, 驱使"
nonviolence," n. 非暴力事件,非暴力"
delocalize," vt. 使 ... 离开原位, 使 ... 不受位置限制"
primeval," adj. 原始的, 早期的, 远古的"
pulsate," v. 搏动, 悸动, 有规律的鼓动"
walrus, n. 海象
irradiation, n. 发光，放射，照射，辐射
ionic, adj. 离子的
renascence," n. 新生, 重生, 复活"
enmesh," vt. 使绊住, 使陷入
=immesh"
demographic," 人口统计学的
adj. 人口的,人口统计的"
bondage," n. 奴役, 束缚"
contention," n. 争论, 争辩, 所持的论点
[计算机] 线路争夺"
commend," vt. 推荐，嘉奖，把……托付给
vi. 推荐"
creator," n. 创造者，[计]创建者
Creator 
n. 上帝"
imitation," n. 模仿,效法
adj. 假造的,冒充的"
guideline, n. 指引，指导方针
reactor, n. 反应者，反应堆
tantamount," adj. 同等的, 相等的, 相当于"
domination," n. 支配, 控制, 管辖
（复数）dominations:[宗]主天使"
impel," v. 驱使, 逼迫"
prose," adj. 散文的
n. 散文"
cowardice, n. 懦弱
prehistory, n. 史前时代，史前学，(事件发生的)历史背景
repertoire," n. (准备好演出的)节目, 保留剧目, (计算机的)指令表, 指令系统, &lt;美&gt;(某个人的)全部技
能, 清单,指令表"
childbirth, n. 分娩
archetypal, adj. 原型的，典型的
curt," adj. 简略的, 简短的, 生硬的"
halo," n. (日月等)晕, 神像之光环"
custodian," n. 管理人,保管人,监督人"
disservice," n. 伤害, 不亲切的行为"
contamination," n. 污染,污染物"
challenger," n. 挑战者, 需要全力对付的事物"
rip," n. 拉裂, 破绽, 激流, 浪荡子
vt. 撕裂, 激昂地说, 贬损
vi. 裂开, 仓促地冲过..."
superfluous, adj. 多余的，过剩的
disastrous, adj. 灾难性的
plenitude," n. 完全, 大量，丰富"
irrefutable," adj. 不能反驳的,不能驳倒的"
circa, prep. 大约
justifiable," adj. 可辩解的, 可证明的, 有理的"
juxtaposition, n. 并排
ewer, n. 大口水罐
decisive, adj. 决定性的；果断的，坚定的
parallelism," n. 平行, 相似"
segment," n. 部分
v. 部分,段,分割
vt. 分割"
channeling," n. 通灵，渠道，槽路，波道效应，多路传输
=channelling(英)
动词channel的现在分词形式"
consolidation," n. 巩固,团结,合并"
insubordinate," adj. 不顺从的,不听话的"
unparalleled," adj. 无比的, 优良无比的, 空前的"
deformation, n. 变形，畸形
unintentional, adj. 非故意的，无心的
captivity," n. 囚禁, 被俘虏"
retrieval," n. 取回, 恢复, 修补"
refutation," n. 辩驳, 反驳"
minuscule," n. 草写小字,小写字
adj. 草写小字的,小写字的"
laity, n. 外行人(门外汉)，非神职信徒
essence," n. 本质,精髓,要素,香精"
positively," adv. 必定地, 确实地, 断然地, 绝对地, 积极地"
allusion," n. 提及,暗示"
surly," adj. 不和蔼的, 板著面孔的, 粗声暴气的"
detain," vt. 扣留,拘押,耽搁"
scrupulous," adj. 小心谨慎的, 细心的，严谨的"
unhealthy, adj. 不健康的，不卫生的，病态的，危险的
profusion," n. 丰多, 大量，浪费"
consecutive," adj. 连续的,连贯的"
levelheaded, adj. 头脑冷静的
dioxide, n. 二氧化物
disinterested," adj. 不感兴趣的，无私欲的, 公平的
动词disinterest的过去式和过去分词形式"
warship," n. 军舰, 战舰"
depletion," n. 消耗,罄尽,放血"
ecological," adj. 生态的, 生态学的"
phytoplankton, n. [植] 浮游植物（群落）
linger," vt. 消磨, 无所事事
vi. 逗留,消磨,徘徊,漫步"
preempt," vt. 优先购买，先占
vi.(桥牌中)先发制人地叫牌"
worldwide, adj. 全世界的
conventionality," n. 常规，陈规陋习, 因袭传统"
pregnancy, n. 怀孕
prehistoric, adj. 史前的
documentary," adj. 文献的
n. 纪录片"
preliterate," adj. 无文字记录的, 文字以前的"
compliance," n. 承诺, 顺从, 遵从"
administer," vt. 管理,执行,给与
vi. 执行管理人职责,给与帮助"
antagonize," v. 使...成敌人,敌对,反对"
adolescent," adj. 青春期的, 青少年的
n. 青少年"
earthly," adj. 地球的, 俗世的, 可能的"
macroeconomic, adj. 宏观经济的
dwindle," v. 减少, 缩小"
singly, adv. 一个一个地，各自地，分别地
ignorance, n. 无知
edify, vt. 建立，训导，教导，启发， 薰陶
avenge," vt. 为...报复, 报仇"
darken," vi. 弄暗, 暗下来
vt. 使变暗，使阴郁，败坏，使模糊"
duplication, n. 副本，复制
chronology, n. 年代学，年表
energetic," adj. 精力旺盛的,有力的,能量的"
luminous," adj. 发光的, 发亮的，清楚的，明白易懂的"
lunar," adj. 月亮的,阴历的,银的"
enlist," v. 徵募, 参与, 支持"
ensue, v. 跟着发生，继起，因而产生
alignment, n. 队列，成直线；校准；结盟
epitome," n. 摘要, 缩影, 化身"
inclusion, n. 包含
functional," adj. 功能的,有功能的,实用的"
mollify," v. 安慰,安抚
vt. 使平息"
radicalism," n. 急进主义, 根本的改革主义"
regain," v. 恢复, 重回, 复得"
prompting," n. 刺激, 激励, 暗示
动词prompt的现在分词"
comparatively," adv. 比较地,相当地,多少"
reenact, vt. 重新制定(再次扮演)
unruly," adj. 难控制的, 无法无天的, 任性的"
lust," n. 贪欲,欲望,色欲
v. 贪求,渴望,动淫念"
photoelectric, adj. 光电的
circumstantial, adj. 依照情况的，不重要的，详细的，礼仪的
conversationalist," n. 健谈者, 交谈者"
assessment," n. 估价, 评估"
crystallography," n.结晶学,晶体学"
fantastic," adj. 极好的,难以相信的,奇异的,幻想的"
hardworking, adj. 努力工作的，勤奋的
cooperation," n. 合作, 协作"
geological," adj. 地质学的
=geologic"
unaware," adj. 没有发觉的, 不知道的"
stereochemistry, n. 立体化学
asceticism, n. 禁欲主义
terrain," n. 地带,地域,地形"
heroism," n. 英勇, 勇敢的事迹, 豪侠的行为"
bachelor," n. 单身汉, 学士"
supporter, n. 支持者，抚养者，支撑物
snort," v. 喷着气弄响鼻子, 哼着鼻子, 嘶嘶响着排气
n. 鼻息, 满杯"
seductive," adj. 诱惑的, 引人注意的, 有魅力的"
curtailment, n. 缩减，缩短
brachiopod, n. 腕足类动物的一种
paleolithic, adj. 旧石器时代的
obsess," vt. 使(某人)牵挂,惦念, 着迷或困扰
vi. 牵挂, 惦念, 着迷或困扰"
feign," vt. 假装，捏造
vi. 假装, 装作"
flaw," n. 缺点,裂纹,瑕疵,突然的狂风天气
vi. 变得有缺陷
vt. 使破裂"
frailty," n. 脆弱, 意志薄弱，虚弱，弱点"
psychotic," n.&amp;adj. 精神病的,疯子"
originate," vt. 发起
vi. 开始
[计算机] 起始"
domesticity, n. (喜欢)家庭生活，顾家
guile," n. 狡猾,奸智,狡计"
foresee," v. 预见, 预知"
ordeal, n. 严酷的考验，痛苦的经验，神裁法
dossier," n. 档案材料，人事材料, 记录文件, 记录, 卷宗"
dote," v. 溺爱,昏愦
vi. 昏愦,溺爱"
violinist, n. 小提琴手
injustice, n. 不公正，不公正的行为
indiscriminate," adj. 无差别的, 不分皂白的, 杂陈的"
perfumed," adj. 香味的
动词perfume的过去式和过去分词"
unsuccessful," adj. 不成功的, 失败的"
deride," vt. 嘲弄, 挖苦"
maturity," n. 成熟
 (支票等的)到期"
imprecise, adj. 不精确的
burgeon," n. 芽, 嫩枝
v. 萌芽, 发芽"
maverick," n. 没打烙印的动物；持不同意见的人
vt. 用不正当手段获取
vi. 迷途；背离
adj. 未打烙印的；行为不合常规的；特立独行的"
serial," n. 序列，串列
adj. 连续的，一连串的"
futility," n. 无用, 无益, 无价值"
measles, n. 麻疹
camouflage," v. 伪装, 欺瞒"
conifer, n. 针叶树
frigid," adj. 寒冷的, 死板的，(指女性)性冷淡的"
interdisciplinary, adj. 各学科间的，跨学科的
thriller, n. 惊险小说
deterrence, n. 制止，妨碍物，威慑
infertile, adj. 贫瘠的，不结果实的，不能生育的
treatise," n. 论文, 论述"
affective, adj. 情感的
colorful," adj. 华美的, 富有色彩的, 有趣的"
belated, adj. 迟来的
primacy," n. 第一, 首位, 卓越
n. （天主教）大主教的职位"
pertinent," adj. 相关的, 中肯的, 切题的"
crest," n. 冠, 饰毛, 顶部
v. 到达绝顶, 加以顶饰"
constellation," n. 星座, 星群"
consternation," n. 惊愕, 恐怖, 惊惶失措"
battalion," n. 营, 军队，大批"
risky," adj. 危险的(冒险的, 大胆的)"
timeout," n. 超时，过期，暂停
=time-out"
piston, n. 活塞
bison, n. 野牛
warrant," n. 正当理由,根据,委任状,准许
vt. 保证,辩解,担保, 授权"
giddy," adj. 眼花的, 头晕的
v. 使眼花, 眼花"
magnanimous," adj. 度量大的, 宽大的, 有雅量的，高尚的"
reversal," n. 翻转, 倒转, 反转"
terrestrial," adj. 地球的；陆地的，[生物] 陆生的；人间的
n. 陆地生物；地球上的人"
milieu, n. 周围，背景
scientism," n. 科学信念, 唯科学主义"
contend," vi. 奋斗,斗争,辩论
vt. 坚持认为,竞争"
globular," adj. 球状的, 全球的, 由小球形成的"
halve," v. 对分, 减半
vt. 分成两半, 平分, 减少到一半"
verbose," adj. 用字多的,冗长,冗赘的"
meaningful," adj. 意义深长的,有意义的"
conditioner, n. 调节装置，空调
avoidance, n. 避免
shameless, adj. 无耻的
heighten," v. 增高,提高,加强"
mismanagement," n. 管理不善, 处理不当"
cooperative," adj. 合作的,共同的
n. 合作社"
prop," n. 支柱,支持者,倚靠人
v. 支撑,维持"
propagate," vt. &vi. 繁殖,扩增,传播,传送"
neurotransmitter, n. [生理] 神经递质；[生理] 神经传递素
congregate," vt. 使集合, 聚集
vi. 集合
adj. 集体的"
graphic," adj. 生动的,图表的
n. 图表"
invaluable, adj. 无价的
enmity," n. 敌意, 憎恨，不和"
abound," v. 富于, 充满"
extraterrestrial," adj. 地球(或其大气圈)外的, 行星际的
n. 外星人"
kinetic, adj. 运动的，动力学的
extravagance," n. 奢侈, 浪费, 放肆的言行"
guardian," n. 保护人, 监护人"
outermost," adj. 最外方的(最远的, 最高头的)"
climatic, adj. 气候上的
irreversible, adj. 不可逆转的
spherule," n. 小球, 小球体"
unearth," vt. 发掘, 掘出，发现并披露"
